uniqueid,time,game,firstPlayer,choice1,rangeProb1,judgements1,choice2,rangeProb2,judgements2
8,765078.0,coordination0,column,A,49,"As in the previous case, unable to tell because the options are the same",A,49,"Still unable to tell if they are friends or enemies.  She could be making the choice that gives her the most money, and it just happens to give David the same amount."
8,871733.0,singleControl1,row,A,74,"Possibly friends, as Maria gives Gavin the option to get $6 either way, but there's also no difference in the choices given",B,0,"If they were friends, Gavin would have chosen the option to give Maria $6 as well."
8,964558.0,singleControl0,row,A,51,"Unable to tell, as both options are the same.",A,90,"Most likely friends, otherwise Logan would have likely chosen the option to give Megan $0."
8,1060614.0,pd3,column,B,20,Most likely enemies and Jack is choosing the best option to get the most money.,B,0,"If they were friends, Olivia would have given Jack the $12"
8,1141351.0,pd0,column,A,85,"Most likely friends, as Matt is choosing the option that gives Ryan the best chance for a better payout.",A,100,"Being the nice friend that Ryan is, he chose to give even amounts when he could have taken the $12"
8,1245406.0,disjunctive3,row,B,26,"If they were friends, he would have chosen the option where they are guaranteed $12",B,0,"Apparently Luke doesn't like money, or Geoff, as he chose the option to give $0 to both"
8,1315255.0,disjunctive0,column,A,48,"Zoe picked the best option for the most amount of money, but can't tell if they're friends by it.",A,55,"Still can't tell, because there's not better choice"
9,169701.0,pd0,row,A,79,I think they may be friends because they both choose option B and get a 12$ payout for each other,A,86,They both chose A so that they would get the same payout as well
9,259931.0,pd3,column,B,14,Geoff chose option B which makes William get 0$ and this indicates non-friendliness,B,29,They are probably not friends or one of them would sacrificed to get 0$ while the other one gets a 12$ payout which is much higher than 4$ for both
9,309614.0,disjunctive3,row,B,76,If they both choose the same options they will both get the same payout ,B,25,Neither one of them compromised to get any payout at all so they probably both wanted a high payout
9,365045.0,disjunctive0,column,A,58,Option A has a greater chance of getting higher payouts for both of them which indicates friendliness,A,66,They both got the same payout
9,444634.0,threat0,column,A,25,Gerald gets a higher payout than Jack no matter what Jack chooses,A,67,They could be friends because they chose options where they both get good payouts
9,495942.0,threat3,row,B,31,Lauren chose an option where they both get good payouts so they could be friends,B,93,Ryan chose an option where Lauren gets a payout but he doesn't
9,534396.0,threat1,row,A,33,Richmond went for the higher payout,B,29,Megan chose to get a higher payout than Richmond
9,590134.0,coordination0,row,A,36,Emily chose an option where they could possibly both get a good payout,A,69,They both chose options where they both get a good payout
9,630091.0,coordination1,row,A,66,Matt chose an option where they both get good payouts,B,14,Luke chose an option where neither of them get paid which does not indicate them being friends
9,685752.0,singleControl1,column,B,25,Jacob chose an option where Zoe cannot get a good payout,A,24,Zoe was forced to choose an option that ended with only Jacob getting a payout
9,713779.0,singleControl0,column,A,69,Olivia chose an option where they both get a good payout,A,77,They both got good payouts from their mutual choices
10,188455.0,coordination1,row,A,50,A normal person will pick this option,B,0,Only enemies will choose to gain nothing to punish someone
10,243481.0,coordination0,column,A,50,Normal person's choice,A,50,Normal person's option
10,366239.0,pd3,column,B,44,Olivia is just greedy,B,49,Daniel is forced to make this decision to gain something
10,438444.0,pd0,row,A,70,Sydney is being nice here,A,71,Emily is a nice person
10,545396.0,threat1,column,B,50,"They are probably strangers, seeks best option for themselves",A,50,"They are probably strangers, seeks best option for themselves"
10,683165.0,threat0,row,A,68,Lauren just seeks best option for her,A,72,Robert is a generous person
10,742257.0,threat3,column,B,50,"They are probably strangers, seeks best option for themselves",B,10,Sally does not like Austin 
10,769607.0,disjunctive0,row,A,50,Normal person's choice,A,50,Either outcome is the same
10,850282.0,disjunctive3,row,B,11,Megan does not like Kate,B,0,Kate is giving up a gain to punish Megan
10,911011.0,singleControl0,column,A,50,Normal person's option,A,50,either outcome is the same
10,976069.0,singleControl1,column,B,17,Logan dislikes Richmond,A,51,Either outcome is the same
11,87119.0,pd3,column,B,20,BECAUSE HE EARN MORE,B,21,BECAUSE HE RECEIVES AN AMOUNT IS LOW AND SHARE AMOUNT IS EQUAL
11,140237.0,pd0,column,A,22,BECAUSE DANIEL CHOOSE AS SHARE 8 AND &12,A,90,DANIEL CHOICE IS GOOD BECAUSE BOTH ARE EQUALLY SHARE
11,222103.0,disjunctive3,column,B,91,FRANK CHOICE IS BETTER TO MOTIVATE EQUALLY ARRANGE THE $12,B,76,BECAUSE HE DOES NOT EARN EQUALLY
11,267139.0,disjunctive0,row,A,83,LOGAN CHOOSE MOST OF OPTION A AS TO PLAY INVEST GAME AS EQUALLY,A,88,HE DEFINITELY FRIENDS TO SHARE EQUAL AMOUNT
11,334574.0,threat0,row,A,67,KATE MAKES MORE SELFISH TO EARN GAME AND PLAYS,A,26,KATE JUDGEMENT TO EARN MORE TO COMPARE HANNAH AND MAKE MORE POSITIVE THOUGHT OF GAME
11,457022.0,threat1,row,A,34,EMILY MAKE CHOICE IS GOOD FOR TO SUPPORT THE GAME AS INCLUDES AND BENEFIED AS PROBLEM OF MAKING CHOICE,B,77,EMILY PERFORMS A JUDGEMENT TAKES MORE EFFECTIVE PLAY THE GAME
11,513014.0,threat3,row,B,70,LUKE GOES TO MAKE MORE SUPPORT TO GAME AT THE MOMENT MORE EARN TO PLAY THE GAME,B,34,BECAUSE HE RECEIVE A $0 IN PLAY
11,568366.0,singleControl0,column,A,79,HE DEFINITELY MAKES GOOD TO PLAY THE GAME AND MOST EARNABLE THOUGHTS OF OPINION,A,68,HE RECEIVES A GOOD COST OF PLAY AND INVESTMENT AND MAKE MORE SUPPORTIVE TO PLAY THE GAME
11,633285.0,singleControl1,row,A,85,GAVIN GOES TO CHOOSE OPTION A AS INCLUDE AND MAKE MORE EARNABLE TO PLAY THE GAME,B,55,DEFINITELY FRIEND BECAUSE GAVIN RECEIVES A $0 AND HE GAVE TO ROBERT
11,692936.0,coordination0,row,A,28,RYAN CHOOSE A $12 AS GOOD TO EARN AND MOTIVATE TO PLAY,A,84,BOTH ARE EQUAL SO IT DEFINITELY FRIENDS
11,750046.0,coordination1,row,A,77,DAVID CHOOSE A GAME AS PLAY FOR $12 FOR EACH SHARING SO THIS IS FRIENDLY,B,65,IN THAT TIME HE RECEIVES BOTH ARE 0 SO HE FRIENDLY
12,73090.0,threat3,column,B,30,He chose consistently to give her less money.,B,79,She chose to get nothing while he recieved money.
12,151538.0,threat1,row,A,54,He made a choice that gav e them both money.,B,64,They still both recieved money.
12,195732.0,threat0,row,A,55,They both recieve money in this choice.,A,90,She chose to have Gerald receive more money than she did.
12,247382.0,disjunctive3,column,B,62,They both recieved a payout.,B,17,He would rather recieve nothing if it meant that Austin would also receive nothing.
12,285124.0,disjunctive0,row,A,65,They receive an equal payout.,A,79,"Again, they both recieve an equal payout."
12,317167.0,coordination0,column,A,79,They both recieve an equal payout.,A,73,They both recieve an equal payout.
12,377337.0,coordination1,column,B,5,"She would rather neither of them recieve any money, so she must dislike Daniel.",A,2,"Daniel would rather recieve nothing, if it means Sally does as well."
12,409259.0,singleControl0,column,A,72,They both recieve equal money in this choice.,A,72,They both recieve an equal amount in the stuation.
12,496179.0,singleControl1,row,A,74,They both recieve an equal amount of money in this choice.,B,15,"Even though Sydney chose for them to recieve equal amount, Kate chose for Sydney to recieve nothing. She could have chosen for them to both recieve money."
12,589799.0,pd0,column,A,73,He could have made more but chose for them to recieve equal amounts.,A,87,"He chose for them to both get money, even though he could have earned more at the expense of David earning nothing."
12,669265.0,pd3,row,B,18,Megan chose to recieve money while Hannah would recieve nothing.,B,57,Megan chose for them both to recieve money even though Hannah didn't do the same.
13,120016.0,pd0,column,A,52,One person wanted to share the other did not,A,100,They both wanted to cooperate 
13,191953.0,pd3,column,B,46,One person cooperated and the other did not,B,2,They both wanted to sabotage each other. 
13,256048.0,disjunctive3,column,B,24,She wanted to sabotage the other person,B,0,Both wanted to sabotage each other.
13,283891.0,disjunctive0,column,A,74,They wanted to cooperate,A,100,Both wanted to share.
13,336954.0,coordination1,row,A,72,Daniel wanted to share,B,6,He sabotaged the other person
13,461413.0,coordination0,column,A,65,He wanted to share,A,100,they both shared
13,543715.0,singleControl1,row,A,53,He gets money either way,B,26,He wanted to send a message
13,598702.0,singleControl0,row,A,55,She gets money either way,A,92,They cooperated
13,704397.0,threat1,column,B,38,he wanted to maximize his money,A,61,B would have netted him nothing
13,980137.0,threat0,column,A,100,She is taking a lesser amount,A,100,She let her partner have money
13,1029089.0,threat3,column,B,46,he wanted to maximize his money,B,0,He took nothing to punish the other person
14,206899.0,coordination1,column,B,87,"Sydney chose the option that was most fair to them both, giving 12 to himself/herself and Richmond.",A,30,"Richmond is the second player, so he knows Sydney's choice. Since he chose to negate their reward, he must really not like Sydney."
14,276575.0,coordination0,row,A,57,"William could be Matt's friend, depending. He wants money, that's all that can be said.",A,78,"There is a chance that they are both friends, and a higher chance now. Still, the choices are so black and white, it's hard to really tell."
14,328878.0,pd0,row,A,72,"There's a decent chance they are friends, as he took a pay cut of 4 dollars to be more fair.",A,90,They are likely friends because they both took a paycut to be equal.
14,415521.0,pd3,column,B,36,"This option benefits jack the most, so they likely are not friends.",B,39,"This benefits both, but not as much as it would have if A was chosen. Likely they are not friends."
14,472571.0,disjunctive3,row,B,49,This could go either way. Cannot tell until David chooses.,B,6,"Since David hurt himself in choosing B to hurt Matthew, they must really dislike one another."
14,540167.0,disjunctive0,row,A,53,"This is a win/win row, so it's hard to tell.",A,90,"Almost certainly they don't dislike each other, though they may just want money."
14,592133.0,singleControl1,row,A,55,Can't tell with this row. Must wait.,B,97,"Since Kaylee chose to not take any money herself, she must be friends."
14,624437.0,singleControl0,column,A,57,Can't tell until next choice,A,78,"They seem to be friends, or like money anyways. They chose the most profitable way."
14,687827.0,threat3,row,B,12,"This row is all or nothing, so it's likely they don't like each other.",B,4,"Daniel chose to enrich himself a Geoff's expense, so likely they don't care for one another."
14,770280.0,threat0,column,A,49,"Hard to say yet. One way is the best possible choice of the choices, the other is all or nothing.",A,72,They are likely friends or at least not enemies since Austin chose the more profitable choice.
14,881200.0,threat1,row,A,76,"This row is the most profitable, so likely they don't hate each other, at least.",B,36,"Gerald probably just likes money, but he may not like Ryan still."
15,96589.0,singleControl0,row,A,97,Because Zoe has opted to split the money.,A,98,Because Frank has been fair in return.
15,172421.0,singleControl1,column,B,18,Because Kate has kept the money.,A,88,Because William opted to give Kate the money.
15,261341.0,threat0,column,A,96,Because Kate gave Jacob more money.,A,26,Probably not enemies because Jacob did give Olivia some money.
15,342717.0,threat1,row,A,82,Because Daniel did give some money to David.,B,77,Because both players received money.
15,434167.0,threat3,column,B,80,Because Hannah did give money to Matt.,B,91,Because Matt made sure Hannah received some money
15,515710.0,coordination0,row,A,54,Hard to tell because the other options are not attractive.,A,63,Hard to tell because that was the only option that made sense.
15,588557.0,coordination1,column,B,7,They have to be enemies to pick 0 money for both.,A,10,"Same, they both lost money in this."
15,678189.0,disjunctive3,column,B,57,Hard to tell if they are friends because of the options.,B,10,Believe they are enemies because Sally forfeited money for no good reason.
15,755854.0,disjunctive0,column,A,56,They could be either friends or enemies based on available choices.,A,51,They could be friends or enemies based on the available choices.
15,875973.0,pd0,row,A,90,Probably friends because Megan chose fairly.,A,100,Definitely friends because Ryan chose fairly.
15,991359.0,pd3,column,B,17,Probably not friends because Sydney chose to take it all.,B,60,"Logan did the fair thing by splitting the money, she may consider him a friend."
16,111021.0,threat1,row,A,75,"It is likely they are friends because David chose the one that will pay them both, however he could have just done it because he got more.",B,50,"I don't think it is clear in this situation because either way one of them is getting more money and Kaylee just chose that she would get more money. I don't think this means they aren't friends, but I also don't think it means they are."
16,167120.0,threat0,row,A,88,I think they are likely to be friends because Rebecca chose the one that would benefit both of them.,A,100,They are definitely friends because Maria sacrificed $6 so that Rebecca could get more money than her.
16,230590.0,threat3,row,B,0,They are absolutely enemies because Richmond chose the option that made him less money just so Gerald would not get anything.,B,0,They both chose the most spiteful options so I strongly believe they are enemies.
16,302852.0,pd3,column,B,16,I think it is very likely enemies because Sally chose the option that would get her the most money while giving Matt $0.,B,0,"They are definitely enemies, they chose the options that were the absolute worst for the other person in both rounds."
16,351514.0,pd0,row,A,99,They are definitely friends because Emily chose to get less money so that they could split it.,A,100,They are 100% friends because they both chose the best options for the other person.
16,482950.0,singleControl0,row,A,50,"I don't think this shows one way or another, both options were the exact same.",A,100,They are definitely friends because Megan chose the option that was mutually beneficial. 
16,588428.0,singleControl1,row,A,48,I don't think you can tell because both of Sydney's options were the same.,B,0,They are enemies because Robert chose to only help himself and rather than getting equal amounts left Sydney with nothing.
16,640299.0,disjunctive3,row,B,51,You cannot tell because both of Daniels options were the same.,B,0,They are definitely enemies because Ryan would rather have nothing as long as Daniel got nothing.
16,770971.0,disjunctive0,column,A,50,I cannot tell one way or another because Olivia had the same options either way.,A,51,I don't think it is possible to tell because both of Luke's options were the exact same.
16,835008.0,coordination1,column,B,0,They are definitely enemies because Frank chose to have nothing so that Logan would also have nothing.,A,0,They are absolutely enemies because they would rather the other suffer at their expense.
16,951681.0,coordination0,column,A,74,"I think it is likely they are friends, however Gavin could have just chosen that so that he would have gotten money.",A,83,They are most likely friends because they would rather them both have money than the other have nothings.
17,103354.0,pd0,column,A,58,"One selection isn't really enough to make a prediction, but I would hazard towards friends over enemies.",A,67,"Choosing A as the second person is a lot riskier, and therefore usually only done if you think the first person chose A as well."
17,142214.0,pd3,column,B,44,"Maybe not enemies, but probably not friends.",B,34,"Still not ""enemies"", but each out for their own gains."
17,202312.0,coordination1,column,B,50,"It's a 50 50 since there is only one good choice for each play, it's just a guess though.",A,50,"It was still a blind guess, and showed no real motive."
17,233058.0,coordination0,row,A,50,"Again, still a blind guess when the payout are like this.",A,50,"Lucky guess, can't tell if they are friends or enemies."
17,324407.0,disjunctive0,column,A,50,"Can't really say, choosing B makes it so that Jacob loses money and it's the only way for him to lose money. It doesn't speak to relationship.",A,50,The only real correct option for Robert to make in order to guarantee making money.
17,374131.0,disjunctive3,row,B,46,Not friends as B is the only way either play can lose money.,B,35,"Both players are dumb, and I would have to assume closer to enemies."
17,436404.0,singleControl0,column,A,98,Choosing A means both plays have to make money.,A,96,"Again, William showed that he wanted both people to win money so they must be friends."
17,472786.0,singleControl1,column,B,0,"Sydney made it so that Megan cannot win money, must be enemies.",A,26,Either choice for Megan means she looses.
17,533172.0,threat3,column,B,16,Sally choose the option that guaranteed her the best payout for herself.,B,10,Emily choose the only option that would lead to Sally getting no money.
17,651448.0,threat1,column,B,10,Kaylee choose the only option where Maria could lose money.,A,62,"Maria made the choice that could get them both money, maybe she thinks they are friends."
17,693452.0,threat0,column,A,84,Daniel choose the option that means that Luke is guaranteed money.,A,91,Luke choose the option that guaranteed Daniel money.
18,303080.0,threat1,column,B,16,Geoff was not nice and did not share much. probably not friends.,A,76,maybe  they are friends conspiring to get the most amount. Matt trusting Geoff to share in the end. 
18,478856.0,threat0,row,A,82,this is the most both can receive. Probably friends.,A,90,Ooh maybe Jacob has the hots for Lauren. He could of chosen B and that would of been fair but he chose for Lauren to get more. 
18,574053.0,threat3,row,B,0,The only reason Maria would chose less so Richmond can have none would be that she loathes him. not friends. selfish maria,B,12,"Richmond although disliking Maria, likes money more. "
18,682729.0,pd3,row,B,1,frank is selfish.,B,11,Frank is trying to get something. 
18,727256.0,pd0,row,A,89,Frank want to share. probably friends,A,100,Kaylee also wants to share. def friends
18,809212.0,singleControl1,column,B,94,Selecting the option where they both get the most is smart and fair. probably friends,A,87,Mabe he likes her
18,838132.0,singleControl0,row,A,87,"fiends share
",A,88,fiends share
18,976456.0,disjunctive3,column,B,51,most amount for him could go either way,B,0,sydney is so mad at david that they would rather no one have money
18,1070907.0,disjunctive0,row,A,65,probably friends since she is sharing,A,100,looks like friends sharing the most they can get
18,1248821.0,coordination1,row,A,79,may be friends or may just want the money,B,0,no one would take $0 rather than $12 unless they really don't want the other person getting any. vindictive
18,1301498.0,coordination0,column,A,56,could go wither way because the only other option is $0,A,85,probably friends since they both shared. 
19,92151.0,threat3,column,B,32,"Robert chose the option that was better for him, but they both made money.",B,0,Matthew was willing to take less money to hurt Robert.
19,140567.0,threat0,column,A,66,Ryan is trusting Zoe not to leave him with no money.,A,76,Zoe maximized both of their earnings.
19,210361.0,threat1,row,A,60,That option is better for both of them.,B,43,Olivia chose to prioritize her own earnings.
19,265404.0,singleControl0,column,A,70,William wants Maria to get an equal share.,A,67,"Either option Maria chose would be good, so I'm still going off William's choice."
19,343622.0,singleControl1,row,A,50,It's impossible to tell since both options leave Kate with the same choice.,B,0,Kate chose to hurt Geoff even though she didn't gain anything from it.
19,401816.0,pd0,row,A,80,Sally chose the options that are best for Megan.,A,100,Megan chose to get less money so Sally could make money too.
19,458757.0,pd3,column,B,26,Luke chose the option that's good for him and bad for Sydney.,B,17,Sydney chose the option that was good for him and bad for Luke.
19,506994.0,coordination1,row,A,50,Both options give Gavin the same choice so Rebecca's choice doesn't say anything.,B,0,Gavin chose not to make money just so Rebecca wouldn't make money.
19,568364.0,coordination0,row,A,50,Both options are the same so it doesn't say anything.,A,72,"Either Lauren wants Kaylee to make money, or she doesn't care as long as she benefits."
19,668319.0,disjunctive3,column,B,100,David trusts Frank not to hurt him.,B,0,Frank hurt David even though it hurt himself too.
19,721669.0,disjunctive0,row,A,41,Austin doesn't trust Hannah to make the choice that helps him.,A,44,It's still based on Austin's judgment since Hannah didn't get a choice.
20,88745.0,pd3,column,B,19,"Gerald doesn't trust Richmond to share evenly and pick A if he himself picks A, so Gerald picks B where he benefits the most, no matter Richmond's choice.",B,7,Richmond didn't maximize Gerald's benefit at his own cost.
20,121431.0,pd0,column,A,92,Sally trusts Sydney to share.,A,100,Sydney takes a small hit to benefit to maximize Sally's benefit.
20,178416.0,singleControl1,row,A,50,"Kaylee's choices are identical, no info gained.",B,0,Robert chose to not give Kaylee $6 at no personal cost.
20,230103.0,singleControl0,row,A,50,"William's options are identical, offering no useful information.",A,71,Olivia chooses to benefit William at no cost to herself. I wouldn't say this means friendship or just general kindness.
20,286590.0,disjunctive3,column,B,37,Daniel give chance for Logan to spite both players. Slight lean to enemies.,B,0,Logan turns down $12 to deny Daniel $12
20,340381.0,disjunctive0,row,A,50,Gavin guarantees the result of everyone gaining $12. No real info gained.,A,51,Hannah's choices were identical. No information gained.
20,389333.0,coordination1,column,B,50,Emily's selection doesn't matter as both yield same options. No info gained.,A,1,Maria turns down $12 to be able to deny Emily of $12.
20,439676.0,coordination0,column,A,50,Luke's selections are identical results. No information is gained.,A,58,"Kate choose so that she and Luke both benefit, but this doesn't signify friendship necessarily in my opinion."
20,492364.0,threat0,column,A,83,Frank takes hit to gains in order to benefit Ryan.,A,100,Ryan maximizes both benefits.
20,591538.0,threat1,column,B,43,"Megan selects to maximize her benefit, but reduces Geoff's max.",A,50,"Geoff decided to maximize both of their earnings, rationally."
20,636234.0,threat3,column,B,50,David chooses rationally to maximize his earnings no matter Austin's choice.,B,0,Austin pays $6 to deny David of $6 additional.
22,90696.0,disjunctive0,column,A,50,"They both get the same amount of money, so this is probably the choice anyone would pick.",A,61,"They chose the one where both people receive 12, but the only other option would result them in getting 0."
22,179076.0,disjunctive3,column,B,11,Seems like Matt dislikes the other person enough to possibly have them get no money at all.,B,2,"Matt may have disliked the other person so much that he did not want them to get money so bad, that he took the fall as well."
22,215864.0,singleControl1,row,A,50,"Both choices are virtually the same, so it is hard to tell whether they are friends or not.",B,50,Both choices are the same so it is difficult to tell.
22,252382.0,singleControl0,row,A,50,Both choices are the same.,A,50,"Both choices are the same, so it doesn't really matter what his choice is."
22,312578.0,pd0,row,A,92,Olivia seems like she wants to make sure her friend gets the most money possible.,A,35,Gerald does not seem to care about how much money Olivia gets.
22,348467.0,pd3,column,B,37,"Jacob chooses pretty selfishly, and wants to get the most for himself.",B,50,Rebecca wants to have the best chance to get the most money for herself.
22,377669.0,coordination1,column,B,50,"Both choices are the same virtually, and can achieve the same outcomes.",A,50,Both choices are the same virtually.
22,404348.0,coordination0,row,A,50,Both choices are pretty much the same.,A,50,Both choices are the same. They lucked out and picked the same letter.
22,465954.0,threat3,row,B,80,Maria picked B to give her friend the best chance to earn more money.,B,50,Richmond wanted to maximize his earnings so picked b.
22,532825.0,threat0,row,A,50,"Hannah wants to maximize her earnings, so she picked A.",A,50,Hannah wants to earn the most she can so she picks A.
